一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
瘤[瘤]	 	說文: 腫也從疒留聲Etym: From bed in house 疒𤕫(爿宀) and phonetic 留. Meaning tumor.Phon: 留畱 liu2 丣 you3 
瘦[瘦]	 	說文: 臞也從疒叜聲Etym: From bed in house 疒𤕫(爿宀) and phonetic 叟. Meaning emaciated.Phon: 叟 sou3 
瘩[瘩]	 	Etym: From bed in house 疒𤕫(爿宀) and phonetic 荅. Meaning pimples.Phon: 荅 da2 ta4 
瘪[癟]	 	Etym: From bed in house 疒𤕫(爿宀) and self 自 and talk 仑侖. Meaning delerious.Simplify: (疒)lf7(s仑侖)
瘫[癱]	 	Etym: From bed in house 疒𤕫(爿宀) and phonetic 难難. Meaning paralysis.Phon: 難 nan2 nan4 Simplify: (疒)lf7(s难難)
瘸[瘸]	 	Etym: From 痂 [From bed in house 疒𤕫(爿宀) and phonetic 加] and meat (body) 肉. Meaning paralisis.Phon: 痂 jia1 加 jia1 jia4 jia3 
瘾[癮]	 	Etym: From bed in house 疒𤕫(爿宀) and phonetic 隐. Meaning rash.Phon: 隱 yin3 yin4 㥯 yin3 (㥯-心 D851 DD0C) yin3 yin4 Simplify: (疒)lf7(s隐隱)
癌[癌]	 	Etym: From bed in house 疒𤕫(爿宀) and phonetic 嵒. Meaning cancer.Phon: 嵒 yan2 
癞[癩]	 	Etym: From bed in house 疒𤕫(爿宀) and phonetic 赖. Meaning leprosy.Phon: 賴頼 lai4 剌 la4 la3 Simplify: (疒)lf7(束) left of (B008贝貝)
癣[癬]	 	說文: 乾瘍也從疒鮮聲Etym: From bed in house 疒𤕫(爿宀) and phonetic 鲜鮮. Meaning ringworms.Phon: 鮮 xian1 xian3 Simplify: (疒)lf7(s鱼魚)
癸[癸]	 	說文: 冬時水土平可揆度也象水從四方流入地中之形癸承壬象人足凡癸之屬皆從癸Etym: Primitive pictograph  癸.  Unclear origin. Meaning 10th heavenly stem.*Phon: 癸 gui3  (productive phonetic)
登[登]	 	說文: 上車也從癶豆象登車形Etym: From feed moving forward 癶 (two feet)  drum 豆. Meaning to rise.Phon: 登 deng1  (productive phonetic)
白[白]	 	說文: 西方色也陰用事物色白從入合二二陰數凡白之屬皆從白Etym: Primitive pictograph 白. Of a white cotton bobin. Meaning white.Phon: 白 bai2  (productive phonetic)
百[百]	 	說文: 十十也從一白數十百為一貫相章也Etym: From one 一 and phonetic 白. Meaning one hundred.Phon: 百 bai3 白 bai2  (productive phonetic)
皂[皂]	 	Etym: Primitive pictograph 皂皁. An acorn from an oak 柞栗. Used for making soap and black tanen.Phon: 草 cao3 早 zao3 
的[的]	 	Etym: From white白 and a spoon full of something 勺. Original meaning (1) clear (2) target. Now meaning a posessive particle.Phon: 勺 shao2 zhuo2 di4 
皆[皆]	 	說文: 俱詞也從比從白Etym: From mouth (of several people) 白曰 and compare (from two people) 比. Meaning "all".Phon: 皆 jie1  (productive phonetic)
皇[皇]	 	說文: 大也從自自始也始王者三皇大君也自讀若鼻今俗以作始生子為鼻子Etym: Primitive pictograph 皇. From king 王 and some kind of remnant probably a crown 白*. Meaning royal.Phon: 皇 huang2 王 wang2 wang4 wang3  (productive phonetic)
皋[皋]	 	說文: 气皋白之進也從**從白禮祝曰皐登謌曰奏故皐奏皆從**周禮曰詔來鼓皐舞皐告之也Phon: 皋臯皐 gao1  (productive phonetic)
皎[皎]	 	說文: 月之白也從白交聲詩曰月出皎兮Phon: 交 jiao1 
皑[皚]	 	說文: 霜雪之白也從白豈聲Phon: 豈 qi3 kai3 Simplify: (白) left of (s岂豈)
皮[皮]	 	說文: 剝取獸革者謂之皮從又為省聲凡皮之屬皆從皮Etym: Compound pictograph 皮. From hand 又 with a stone knife skinning an animal. Meaning skin.Phon: 皮 pi2 bo1  (productive phonetic)
皱[皺]	 	Etym: From skin 皮 and phonetic 刍芻. Meaning wrinkles.Phon: 芻 chu2 zou1 Simplify: (s刍芻) left of (皮)
皴[皴]	 	說文: 皮細起也從皮夋聲Phon: 夋 qun1 jun4 suo1 允 yun3 jun4 
皿[皿]	 	說文: 飯食之用器也象形與豆同意凡皿之屬皆從皿讀若猛Etym: Primitive pictograph 皿. A large bronze bowl.
盂[盂]	 	說文: 飯器也從皿于聲Phon: 于 yu2 yu1 xu1 
盅[盅]	 	Etym: From bowl 皿 and phonetic 中. Meaning a small cup.
盆[盆]	 	說文: 盎也從皿分聲Etym: From bowl 皿 and phonetic 分. Meaning basin.Phon: 分 fen1 fen4 ban4 
[盇]	 	說文: 覆也從血大臣鉉等曰大象蓋覆之形
盈[盈]	 	說文: 滿器也從皿夃臣鉉等曰夃益多之義也古者以買物多得為夃故從夃Etym: From bowl 皿 and phonetic (also meaning success) 夃.  Meaning full.Phon: 盈 ying2 夃 ying2  (productive phonetic)
益[益]	 	說文: 饒也從水皿皿益之意也Etym: Primitive pictograph 益. Original of 溢. Meaning excess water. From water 氵* a basin 皿, now. Meaning excess profit.Phon: 益 yi4 ai4  (productive phonetic)
盎[盎]	 	說文: 盆也從皿央聲Phon: 央 yang1 
盏[盞]	 	Etym: From bowl 皿 and phonetic 戋戔. Meaning small containerPhon: 戔 can2 jian1 Simplify: (s戋戔) above (皿)
盐[鹽]	 	說文: 鹹也從鹵監聲古者宿沙初作煮海鹽凡鹽之屬皆從鹽Etym: Remnant character 盐鹽.  From salt (a bag of alkaline soil) 卤鹵 substituted with soil 土 and phonetic 监監 [simplified to bowl 皿血 and man looking in bowl 臥 substituted with 卜 ] . Meaning salt.Phon: 監 jian1 jian4 kan4 Simplify: (unk**) left of 皿
监[監]	 	說文: 臨下也從臥**省聲Etym: Compound pictograph 监監. From blood 皿血 and supervisor 卧臥. Meaning to supervise.Phon: 監 jian1 jian4 kan4  (productive phonetic)Simplify: (super cursive simplification 监監)
盒[盒]	 	Etym: From bowl 皿 and phonetic 合. Meaning a small box.Phon: 合 he2 ge2 qia4 
盔[盔]	 	Etym: From bowl 皿 and phonetic 灰. Meaning bowlPhon: 灰 hui1 又 you4 
盖[蓋]	 	說文: 苫也從艸盍聲Etym: Cursive remnant 盖蓋. From bowl 皿 and remnant cover 去 and grass 艹艸. Meaning to cover or hide.Phon: 盍 he2 ke2 去 qu4 Simplify: (super cursive simplification (盖蓋))
盗[盜]	 	說文: 私利物也從****欲皿者Etym: From bowl 皿 and desire 次㳄 (original meaning to desire).  Original meaning to desire. Meaning to rob.
盘[盤]	 	說文: 籀文從皿Etym: From bowl 皿 and phonetic remnant 舟般. Meaning dish.Phon: 般 ban1 pan2 Simplify: (deletion 盘(盤-殳))
盛[盛]	 	說文: 黍稷在器中以祀者也從皿成聲Etym: From bowl 皿 and phonetic (also meaning complete) 成. Meaning abundent.Phon: 成 cheng2 丁 ding1 
盟[盟]	 	說文: 古文從明Etym: From bowl 皿 (sacrificial bowl) and phonetic 明. Meaning to swear an oath.Phon: 明 ming2 
盥[盥]	 	說文: 澡手也從臼水臨皿春秋傳曰奉匜沃盥
[盪]	 	說文: 滌器也從皿湯聲Phon: 湯 tang1 昜 yang2 
目[目]	 	說文: 人眼象形重童子也凡目之屬皆從目Etym: Primitive pictograph 目. An eye. Meaning eye.Phon: 目 mu4  (productive phonetic)
盯[盯]	 	Etym: From eye 目 and phonetic 丁. Meaning to rivit, gaze.Phon: 丁 ding1 
盲[盲]	 	說文: 目無牟子從目亡聲Etym: From eye 目 and phonetic (also meaning lost) 亡. Meaning blind.Phon: 亡兦 wang2 wang4 meng2 
直[直]	 	說文: 正見也從∟從十從目徐锴曰∟隱也今十目所見是直也Etym: Primitive pictograph 直. An eye and a line, also pronounced zhi indicating the eye that sees straight. Lower part is remnant of the nose. Meaning straight.Phon: 直 zhi2  (productive phonetic)
相[相]	 	說文: 省視也從目從木易曰地可觀者莫可觀於木詩曰相鼠有皮Etym: From tree 木 pronounced mu and eye 目 pronounced mu, thus it means similar.Phon: 相 xiang1 xiang4  (productive phonetic)
盹[盹]	 	Etym: From eye 目 and phonetic 屯. Meaning to nap.Phon: 屯 tun2 zhun1 
盼[盼]	 	說文: 詩曰美目盼兮從目分聲Etym: From eye 目 and phonetic 分. Meaning to look.Phon: 分 fen1 fen4 ban4 
盾[盾]	 	說文: 瞂也所以扞身蔽目象形凡盾之屬皆從盾Etym: Primitive pictograph 盾. Eye 目 that looks throuth a shiled. Meaning shield.Phon: 盾 dun4 yun2  (productive phonetic)
省[省]	 	說文: 視也從眉省從屮Etym: Cursive remnant 省. From eye 目 and phonetic (also meaning sprout) 少生. Original meaning to inspect.
眇[眇]	 	說文: 一目小也從目從少少亦聲Etym: From eye 目 and small 少. Meaning small.Phon: 眇 miao3 miao4  (productive phonetic)
眉[眉]	 	說文: 目上毛也從目象眉之形上象頟理也凡眉之屬皆從眉Etym: Primitive pictograph 眉. Of an eye with eyebrows above. Meaning eyebrows.Phon: 眉 mei2  (productive phonetic)
看[看]	 	說文: 睎也從手下目Etym: From hand 扌手 and eye 目. Meaning to look at.
[県]	 	說文: 到首也賈侍中說此斷首到縣**字凡**之屬**
[眞]	 	說文: 僊人變形而登天也從匕從自∟音隱八所乘載也
真[真]	 	說文: 僊人變形而登天也從匕從自∟音隱八所乘載也Etym: Compound pictograph 真. From straight 直 placed on a table, for people to see that it is real. Meaning real. (* see other etymologies 鼎)Phon: 眞真 zhen1 tian2  (productive phonetic)
眠[眠]	 	Etym: From eye 目 and phonetic 民. Meaning sleep.Phon: 民 min2 
眨[眨]	 	說文: 動目也從目乏聲Etym: From eye 目 and phonetic 乏. Meaning to wink.Phon: 乏 fa2 fan4 (questionable) 
眩[眩]	 	說文: 目無常主也從目玄聲Phon: 玄 xuan2 
眶[眶]	 	Etym: From eye 目 and phonetic 匡. Meaning eye socket.Phon: 匡 kuang1 王 wang2 wang4 wang3 
眷[眷]	 	說文: 顧也從目聲詩曰乃眷西顧Etym: From eye 目 and phonetic 𢍏. Meaning to care for.Phon:  juan4 
眸[眸]	 	說文: 目童子也從目牟聲說文直作牟Phon: 牟 mou2 
眺[眺]	 	說文: 目不正也從目兆聲Phon: 兆 zhao4 tao2 tiao1 
眼[眼]	 	說文: 目也從目艮聲Etym: From eye 目 and phonetic 艮. Meaning eyePhon: 艮 gen3 gen4 hen2 
著[著]	 	Etym: Primitive pictograph 着著. From bamboo 艹竹 and words 曰 and remnant of bamboo scroll threaded together. Original meaning to write.Phon: 著着 zhao1 zhao2 zhu4 zhuo2 者 zhe3 zhu1 zhu4 (艹艸  cao3)  (productive phonetic)
睁[睜]	 	Etym: From eye 目 and phonetic 争爭. Meaning to stare.Phon: 爭 zheng1 zheng4 
睐[睞]	 	說文: 目童子不正也從目來聲Phon: 來 lai2 Simplify: (目) left of (s来來)
[睘]	 	說文: 目驚視也從目袁聲詩曰獨行瞏瞏Phon: 睘瞏 huan2  (productive phonetic)
睛[睛]	 	Etym: From eye 目 and phonetic 青. Meaning eyeball.Phon: 青靑 qing1 井 jing3 
睡[睡]	 	說文: 坐寐也從目垂Etym: From eye 目 and phonetic 垂. Meaning to sleep.Phon: 垂 chui2 zhui4 
督[督]	 	說文: 察也一曰目痛也從目叔聲Etym: From eye 目 (to look over) and phonetic 叔. Meaning to supervise.Phon: 叔 shu2 尗 shu2 
睦[睦]	 	說文: 目順也從目坴聲一曰敬和也Etym: From eye 目 (when seen) and phonetic 坴. Meaning friendly.Phon: 目 mu4 
睨[睨]	 	說文: 衺視也從目兒聲Phon: 兒 er ni2 
睾[睪]	 	Etym: From eye *目 and criminal 幸. Meaning to keep an eye on.
睬[睬]	 	Etym: From eye 目 and phonetic 采. Meaning to notice.Phon: 采 cai3 cai4 
睹[睹]	 	說文: 見也從目者聲Etym: From eye 目 and phonetic 者. Meaning to look at.Phon: 者 zhe3 zhu1 zhu4 
睽[睽]	 	說文: 目不相聽也從目癸聲Phon: 癸 gui3 
睿[睿]	 	說文: 古文叡Phon: 睿 rui4  (productive phonetic)
瞄[瞄]	 	Etym: From eye 目 and phonetic 苗. Meaning take aim at.Phon: 苗 miao2 
[瞇]	 	Etym: From eye 目 and phonetic 米. Meaning blind.Phon: 迷 mi2 米 mi3 
瞎[瞎]	 	Etym: From eye 目 and phonetic 害. Meaning blind.Phon: 害 hai4 he2 xia2 丯 jie4 
[瞏]	 	說文: 目驚視也從目袁聲詩曰獨行瞏瞏Phon: 睘瞏 huan2  (productive phonetic)
瞑[瞑]	 	說文: 翕目也從目冥冥亦聲Phon: 冥 ming2 
瞒[瞞]	 	說文: 平目也從目䓣聲Etym: From eye 目 and phonetic (also meaning scale) 䓣㒼. Meaning to deceive.Phon: 䓣㒼 man2 Simplify: (目) left of (s两兩)
瞟[瞟]	 	說文: D854 DE7B 也從目票聲Phon: 票 piao4 
瞢[瞢]	 	說文: 目不明也從D854 DD15從䀏䀏目數搖也Phon: 瞢 meng4 meng2  (productive phonetic)
瞥[瞥]	 	說文: 過目也又目翳也從目敝聲一曰財見也Phon: 敝 bi4 bie4 㡀 bi4 
瞧[瞧]	 	Etym: From eye 目 and phonetic 焦. Meaning glance at.Phon: 焦 jiao1 qiao2 
瞪[瞪]	 	Etym: From eye 目 and phonetic 登. Meaning to stare at.Phon: 登 deng1 
瞬[瞬]	 	Etym: From eye 目 and phonetic 舜. Meaning blink.Phon: 舜 shun4 舛 chuan3 
[瞭]	 	Etym: From eye 目 and phonetic 尞. Meaning bright.Phon: 尞 liao4 liao2 Simplify: ( character substitution 了尞)
瞳[瞳]	 	Etym: From eye 目 and phonetic 童. Meaning pupil.Phon: 童 tong2 zhong1 重 chong2 zhong4 tong2 dong4 
瞻[瞻]	 	說文: 臨視也從目詹聲Etym: From eye 目 and phonetic 詹. Meaning toPhon: 詹 zhan1 chan2 dan4 
瞽[瞽]	 	說文: 目但有眹也從目鼓聲Phon: 鼓鼔 gu3 
瞿[瞿]	 	說文: 鷹隼之視也從佳從䀠䀠亦聲凡瞿之屬皆從瞿讀若章句之句Phon: 瞿 ju4 qu2  (productive phonetic)
[矇]	 	說文: 童矇也一曰不明也從目蒙聲Phon: 蒙 meng2 冡 meng2 Simplify: (deletion 31蒙(矇-目))
矍[矍]	 	說文: 佳欲逸走也從又持之矍矍也讀若詩云穬彼淮夷之穬一曰視遽貌Phon: 矍 jue2 瞿 ju4 qu2  (productive phonetic)
矗[矗]	 	Etym: From three straignt 直. Meaning upright.
矛[矛]	 	說文: 酋矛也建於兵車長二丈象形凡矛之屬皆從矛Etym: Primitive pictograph 矛. A saw shaped weapon. Meaning spear.Phon: 矛 mao2  (productive phonetic)
矜[矜]	 	說文: 矛柄也從矛今聲Phon: 今 jin1 
[矞]	 	說文: 以錐有所穿也從矛從冏一日滿有所出也Phon: 矞 yu4 jue2  (productive phonetic)
矢[矢]	 	說文: 弓弩矢也從入象鏑栝羽之形古者夷牟初作矢凡矢之屬皆從矢Etym: Primitive pictograph 矢. An arrow. Meaning arrow.
矣[矣]	 	說文: 語已詞也從矢以聲Etym: From arrow 矢 (which hits its mark and stops) and phonetic 厶. Meaning a final sound indicicating end of sentence.Phon: 矣 yi3 厶 yi3  (productive phonetic)
知[知]	 	說文: 詞也從口從矢Etym: From mouth 口 (character created for sound) and phonetic 矢, borrowed for sound. Meaning to know.Phon: 知 zhi1 zhi4 矢 shi3  (productive phonetic)
矩[矩]	 	Etym: From person 矢大 holding a 巨工 carpenters square. Meaning carpenters square.Phon: 巨 ju4 
矫[矯]	 	說文: 揉箭箝也從矢喬聲Etym: From arrow 矢 (which needs to be streightened) and phonetic 乔喬. Meaning correct, or streighten.Phon: 喬 qiao2 jiao1 jiao3 高 gao1 Simplify: (矢) left of (s乔喬)
短[短]	 	說文: 有所長短以矢為正從矢豆聲Etym: From arrow 矢 (The spear is long the arrow is short) and phonetic 豆. Meaning short  (like a rope).Phon: 豆 dou4 
矮[矮]	 	說文: 短人也從矢委聲Etym: From arrow 矢 (The spear is long the arrow is short)  and phonetic 委. Meaning short (like a person).Phon: 委 wei3 
石[石]	 	說文: 山石也在厂之下口象形凡石之蜀皆從石Etym: Primitive pictograph 石. A triangular stone chime 磬 and 口 (indicating the sound made by the chime). Abstract meaning rock.Phon: 石 shi2 dan4  (productive phonetic)
矶[磯]	 	說文: 大石激水也從石幾聲Phon: 幾 ji1 ji3 Simplify: (石) left of (s几幾)
矽[矽]	 	Etym: From rock 石 and phonetic 圭. Meaning silicon.Phon: 夕 xi4 
矾[礬]	 	Etym: From rock 石 and phonetic 凡. Meaning alum.Phon: 樊 fan2 棥 fan2 Simplify: (石) left of (phonetic-phonetic substitution 凡樊)
矿[礦]	 	Etym: From rock 石 and phonetic 广廣. Meaning mine.Phon: 廣 guang3 guang4 kuang4 黃 huang2 huang1 Simplify: (石) left of (s广廣)
码[碼]	 	Etym: From rock 石 and phonetic 马馬. Meaning number. (think abacus or calculus)Phon: 馬 ma3 Simplify: (石) left of (s马馬)
砂[砂]	 	Etym: From rock 石 and phonetic (original pictograph meaning sand) 少. Meaning sand.Phon: 沙 sha1 少 shao3 shao4 小 xiao3 
砌[砌]	 	說文: 階甃也從石切聲Etym: From rock 石 and phonetic 切. Meaning to build.Phon: 切 qie4 qie1 七 qi1 
砍[砍]	 	Etym: From rock 石 and phonetic 欠. Meaning chop.Phon: 欠 qian4 
研[研]	 	說文: **也從石幵聲Etym: From rock 石 and phonetic 开幵(jian). Originally to adjust the petraphone 石 and the zither 琴. Meaning to reasearch.Phon: 幵开 jian1 qian1 
砖[磚]	 	Etym: From rock 石 and phonetic 专専. Meaning brick.Phon: 專 zhuan1 tuan2 chuan2 叀 zhuan1 hui4 Simplify: (石) left of (s专專)
砚[硯]	 	說文: 石滑也從石見聲Etym: From rock 石 and phonetic (also meaning to see) 见見. Meaning ink stone.Phon: 見 xian4 jian4 Simplify: (石) left of (s见見)
砥[砥]	 	說文: 厎或從石Phon: 氐 di1 di3 zhi1 氏 shi4 zhi1 
砧[砧]	 	說文: 石柎也從石占聲Phon: 占 zhan1 zhan4 tie1 
砭[砭]	 	說文: 以石刺病也從石乏聲Phon: 乏 fa2 fan4 
砰[砰]	 	Etym: From rock 石 and phonetic 平. Meaning sound of crushing rock.Phon: 平 ping2 
破[破]	 	說文: 石碎也從石皮聲Etym: From rock 石 and phonetic 皮. Meaning break.Phon: 皮 pi2 bo1 
砸[砸]	 	Etym: From rock 石 and phonetic 匝帀. Meaning smash.Phon: 匝帀 za1 
砺[礪]	 	說文: **也從石厲聲經典通用厲Phon: 厲 li4 Simplify: (石) left of (厂)lf7(s万萬)
砾[礫]	 	說文: 小石也從石樂聲Etym: From rock 石 and phonetic 乐樂. Meaning gravel.Phon: 樂 le4 yao4 luo4 Simplify: (石) left of (s乐樂)
础[礎]	 	說文: 礩也從石楚聲Etym: Substituted phonetic 础礎, From  rock 石 and substituted phonetic 出(楚). Meaning foundation.Phon: 楚 chu3 疋 shu1 pi3 Simplify: (石) left of (phonetic-phonetic substitution 出楚)
硕[碩]	 	說文: 頭大也從頁石聲Etym: From phonetic (rock) 石 and head 页*. Meaning great.Phon: 石 shi2 dan4 Simplify: (石) left of (s页頁)
硝[硝]	 	Etym: From rock 石 and phonetic 肖. Meaning saltpeter.Phon: 肖 xiao4 小 xiao3 
硫[硫]	 	Etym: From rock 石 and phonetic 旈. Meaning sulfur.Phon: (流-氵D847 DFEE) liu2 tu1 
硬[硬]	 	Etym: From rock 石 and phonetic 更. Meaning hard.Phon: 更 geng1 geng4 
硷[鹼]	 	說文: 鹵也從鹽省僉聲Phon: 僉 qian1 xian1 
硼[硼]	 	Etym: From rock 石 and phonetic 朋. Meaning borax.Phon: 朋 peng2 
碉[碉]	 	Etym: From rock 石 and phonetic 周. Meaning watch tower.Phon: 周 zhou1 
碌[碌]	 	說文: 石皃從石彔聲Etym: From rock 石 and phonetic 录彔. Meaning rough.Phon: 彔 lu4 
碍[礙]	 	說文: 止也從石疑聲Etym: From rock 石 and phonetic (旦寸)疑. Meaning to obstruct.Phon: 疑 yi2 ning2 Simplify: (石) left of (pss㝵疑))
碎[碎]	 	說文: **也從石卒聲Etym: From rock 石 and phonetic 卒. Meaning to smash.Phon: 卒 zu2 cui4 
碑[碑]	 	說文: 豎石也從石卑聲Etym: From rock 石 and phonetic 卑. Meaning stone tablet.Phon: 卑 bei1 
碗[碗]	 	Etym: From rock 石 and phonetic 宛. Meaning bowl.Phon: 宛 wan3 夗 yuan4 wan3 wan1 yuan1 
碘[碘]	 	Etym: From rock 石 and phonetic 典. Meaning iodine.Phon: 典 dian3 
碟[碟]	 	Etym: From rock 石 and phonetic 枼. Meaning plate.Phon: 枼 ye4 die2 
碧[碧]	 	說文: 石之青美者從玉石白聲Etym: From rock 石 jade 王玉 and phonetic 白. Meaning jade.Phon: 珀 po4 白 bai2 
碱[堿]	 	Etym: From rock 石 and phonetic 土 and phonetic 咸. Meaning alkaline.
碳[碳]	 	Etym: From rock 石 and phonetic (burnable stuff found in the mountain) 炭. Meaning carbon.Phon: 炭 tan4 
碴[碴]	 	Etym: From rock 石 and phonetic 查. Meaning to chip.
碾[碾]	 	Etym: From rock 石 and phonetic 展. Meaning to crush.Phon: 展 zhan3 
磁[磁]	 	Etym: From rock 石 and phonetic 兹. Meaning magnetic.Phon: 茲 zi1 ci2 糸 mi4 si1 
磅[磅]	 	Etym: From rock 石 acting as a weight and phonetic 旁. Meaning weight.Phon: 旁 pang2 bang4 方 fang1 fang3 pang2 
磊[磊]	 	說文: 眾石也從三石
磕[磕]	 	說文: 石聲從石盍聲Etym: From rock 石 and phonetic 盍盇. Meaning to hit.Phon: 盍 he2 ke2 去 qu4 
磨[磨]	 	Etym: From phonetic 麻(广𣏟) and stone 石. Meaning to grind.Phon: 磨 mo2 mo4 麻 ma2  (productive phonetic)
磬[磬]	 	說文: 樂石也從石殸象縣虡之形殳擊之也古者毌句氏作磬Phon: 殸 qing4 声 qing4 sheng1 
磷[磷]	 	Etym: From rock 石 and phonetic 粦. Meaning phosphorus.Phon: 粦 lin2 
磺[磺]	 	說文: 銅鐵樸石也從石黃聲讀若穬Phon: 黃 huang2 huang1 
礁[礁]	 	Etym: From rock 石 and phonetic 焦. Meaning reef.Phon: 焦 jiao1 qiao2 
示[示]	 	說文: 天垂象見吉凶所以示人也從二三垂日月星也觀乎天文以察時變示神事也凡示之屬皆從示Etym: Primitive pictograph 示. An altar, indicating things related to god. Now meaning to show.Phon: 示 shi4  (productive phonetic)
礼[禮]	 	說文: 履也所以事神致福也從示從豊豊亦聲Etym: From altar 礻示 and phonetic (man parying 乚)(offering 豊)乚豊. Meaning ritual.Phon: 豊 li3 Simplify: (礻) left of (pcs乚豊)
社[社]	 	說文: 地主也從示土春秋傳曰共工之子句龍為社神周禮二十五家為社各樹其土所宜之木Etym: From altar 礻示 and earth 土. Originally the god of the land, 土地公.
祀[祀]	 	說文: 祭無巳也從示巳聲Phon: 巳 si4 
祁[祁]	 	說文: 太原縣從邑示聲
祆[祆]	 	說文: 胡神也從示天聲Phon: 天 tian1 
[祇]	 	說文: 地祇提出萬物者也從示氏聲Phon: 氏 shi4 zhi1 
祈[祈]	 	說文: 求福也從示斤聲Etym: From altar 礻示 and remnant斤 (probably two men praying). Meaning to prayPhon: 斤 jin1 
祉[祉]	 	說文: 備也從示止聲Phon: 止 zhi3 
[祐]	 	說文: 助也從示右聲Phon: 右 you4 又 you4 
秘[祕]	 	說文: 神也從示必聲Phon: 必 bi4 八 ba1  (possible) 
祖[祖]	 	說文: 始廟也從示且聲Etym: From altar 礻示 and phonetic (also meaning ancestor tablet) 且. Meaning ancestor.Phon: 且 qie2 ju1 cu2 
祗[祗]	 	說文: 敬也從示氐聲Phon: 氐 di1 di3 zhi1 氏 shi4 zhi1 
[祘]	 	說文: 明視以筭之從二示逸周書曰士分民之算均分以算之也讀若筭Phon: 祘 suan4  (productive phonetic)
祚[祚]	 	說文: 福也從示乍聲臣鉉等曰凡祭必受胙胙即福也此字後人所加Phon: 乍 zha4 zuo4 
祝[祝]	 	說文: 祭主贊詞者從示從人口一曰從兌省易曰兌為口為巫Etym: From altar 礻示 and man speaking 兄. Meaning to wish or pray for.
神[神]	 	說文: 天神引出萬物者也從示申聲Etym: From altar 礻示 and phonetic (man praying) 申. Meaning god.Phon: 申 shen1 
祟[祟]	 	說文: 神禍也從示從出Etym: From altar 示 (of the spirit) and to come out 出. Meaning evil spirit.
祠[祠]	 	說文: 春祭曰祠品物少多文詞也從示司聲仲春之月祠不用犧牲用圭璧及皮幣Etym: From altar 礻示 and phonetic (also meaning to give orders) 司. Meaning ancestral temple.Phon: 司 si1 
祥[祥]	 	說文: 福也從示羊聲一云善Etym: From altar 礻示 and phonetic 羊. Meaning good luck.Phon: 羊 yang2 
票[票]	 	說文: 火飛也從火**與**同意Etym: Cursive remnant 票. From  示火 (originally fire) and remnant phonetic 西要 (originally waist). Original meaning a blazing fire.Phon: 票 piao4  (productive phonetic)
祭[祭]	 	說文: 祭祀也從示以手持肉Etym: From meat 月肉 in the hand 又 over an altar 示. Meaning to sacrifice.Phon: 祭 ji4 zhai4  (productive phonetic)
祯[禎]	 	說文: 祥也從示貞聲Phon: 貞 zhen1 Simplify: (礻) left of (B008贝貝)
祷[禱]	 	說文: 告事求福也從示壽聲Etym: From altar 礻示 and cursive remnant long life 寿夀. Meaning to pray.Phon: 壽 shou4 Simplify: (礻) left of (s寿壽)
祸[禍]	 	說文: 害也神不福也從示咼聲Etym: From altar 礻示 and phonetic 呙咼. Meaning misfortune.Phon: 咼 gua3 wo1 guo1 wai1 冎 gua3 Simplify: (礻) left of (s呙咼)
祺[祺]	 	說文: 吉也從示其聲Phon: 其 qi2 
禄[祿]	 	說文: 福也從示彔聲Phon: 彔 lu4 
禀[稟]	 	說文: 賜榖也從㐭從禾Etym: From remnant 示禾 and a store of grain 啚. Meaning to report on the grain storage.Phon: 稟 bing3 㐭 lin3  (productive phonetic)
禁[禁]	 	說文: 吉凶之忌也從示林聲Etym: From altar 示 and remnant 林 (originally probably two men over the altar making an oath). Meaning forbiddenPhon: 禁 jin1 jin4 林 lin2  (productive phonetic)
禅[禪]	 	說文: 祭天也從示單聲Phon: 單 chan2 shan4 dan1 Simplify: (衤) left of (s单單)
福[福]	 	說文: 祐也從示畐聲Etym: From altar (something from God) 示 and phonetic (also incicates posessions) 畐. Meaning happiness.Phon: 畐 fu2 bi4 
[禦]	 	說文: 祀也從示御聲Phon: 御 yu4 Simplify: (deletion 御(禦-示))
禧[禧]	 	說文: 禮吉也從示喜聲Phon: 喜 xi3 
禹[禹]	 	說文: 蟲也從厹象形Etym: Primitive pictograph 禹. Originally some kind of animal. Meaning legendary Hsia dynasty founder.Phon: 禹 yu3  (productive phonetic)
禺[禺]	 	說文: 母猴屬頭似鬼從甶從禸Etym: Primitive pictograph 禺. Original meaning an animal.Phon: 禺 yu4 yu2 ou3  (productive phonetic)
离[离]	 	說文: 山神獸也從禽頭從厹從屮歐陽喬說离猛獸也臣鉉等曰從屮義無所取疑象形Phon: 离 li2  (productive phonetic)
禽[禽]	 	說文: 走獸總名從厹象形今聲禽离兕頭相似Etym: Primitive pictograph 禽. A net (bottom) over a mouth (top). Meaning an animal.Phon: 禽 qin2 今 jin1  (productive phonetic)
禾[禾]	 	說文: 嘉榖也二月始生八月而孰得時之中故謂之禾禾木也木王而生金王而死從木從D840 DCB9省D840 DCB9象其穗凡禾之屬皆從禾Etym: Primitive pictograph 禾. Pictograph of some grain. Meaning grainPhon: 禾 he2  (productive phonetic)
秃[禿]	 	說文: 無髮也從人上象禾粟之形取其聲凡禿之屬皆從禿王育說蒼頡出見禿人伏禾中因以制字未知其審Etym: Compound pictograph 秃. From grain 禾 and man 儿 (with thin hair like grain in a field). Meaning bald.
